City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gubkinskiy,RU,2020-02-20 00:41:28,64.43,76.5,30.16,95,100,13.24
1,Kapaa,US,2020-02-20 00:37:19,22.08,-159.32,80.6,88,90,23.04
2,Busselton,AU,2020-02-20 00:37:25,-33.65,115.33,78.01,33,0,16.64
3,Castro,BR,2020-02-20 00:37:43,-24.79,-50.01,67.39,97,98,3.62
4,Qaanaaq,GL,2020-02-20 00:37:37,77.48,-69.36,-11.92,55,0,5.06
5,Flinders,AU,2020-02-20 00:38:16,-34.58,150.86,79.0,46,0,11.41
6,Albany,US,2020-02-20 00:35:02,42.6,-73.97,30.2,42,75,13.87
7,Hilo,US,2020-02-20 00:36:57,19.73,-155.09,78.01,69,75,4.7
8,Borba,BR,2020-02-20 00:41:30,-4.39,-59.59,75.49,97,100,3.4
9,Los Llanos De Aridane,ES,2020-02-20 00:37:41,28.66,-17.92,64.4,63,75,13.87
10,Saint-Augustin,CA,2020-02-20 00:38:05,51.23,-58.65,24.58,92,99,19.08
11,Ushuaia,AR,2020-02-20 00:36:00,-54.8,-68.3,48.2,81,75,24.16
12,Olavarria,AR,2020-02-20 00:41:31,-36.89,-60.32,63.0,61,0,4.0
13,Bluff,NZ,2020-02-20 00:37:32,-46.6,168.33,66.49,55,92,7.11
14,Dikson,RU,2020-02-20 00:37:39,73.51,80.55,19.2,94,100,15.82
15,Awjilah,LY,2020-02-20 00:41:31,29.11,21.29,54.0,70,0,6.35
16,Pacific Grove,US,2020-02-20 00:41:31,36.62,-121.92,69.01,67,1,6.93
17,San Patricio,MX,2020-02-20 00:38:36,19.22,-104.7,84.2,74,20,11.41
18,Plettenberg Bay,ZA,2020-02-20 00:41:33,-34.05,23.37,75.38,56,82,10.69
19,Atlantic Beach,US,2020-02-20 00:37:53,30.33,-81.4,71.6,100,75,13.87
20,Rikitea,PF,2020-02-20 00:37:25,-23.12,-134.97,78.46,80,3,13.33
21,Jamestown,US,2020-02-20 00:37:22,42.1,-79.24,26.01,73,90,6.93
22,Kysyl-Syr,RU,2020-02-20 00:41:33,63.9,122.76,-0.9,97,100,5.23
23,Bethel,US,2020-02-20 00:37:43,41.37,-73.41,37.99,40,1,6.93
24,Hambantota,LK,2020-02-20 00:38:14,6.12,81.12,78.82,74,0,23.76
25,Rognan,NO,2020-02-20 00:41:35,67.1,15.39,24.01,73,0,21.92
26,Deputatskiy,RU,2020-02-20 00:38:17,69.3,139.9,-6.97,93,100,3.69
27,Pisco,PE,2020-02-20 00:41:35,-13.7,-76.22,75.2,83,100,21.92
28,Comodoro Rivadavia,AR,2020-02-20 00:36:12,-45.87,-67.5,62.6,45,81,6.93
29,La Ronge,CA,2020-02-20 00:41:35,55.1,-105.28,15.8,56,75,4.7
